FIL-USDT-SWAP,NEAR-USDT-SWAP,FIL-USDT-SWAP_log,NEAR-USDT-SWAP_log,Spread,ZScore
1.269,1.477,0.23822918873225055,0.3900130035492428,0.018677909767325862,1.4375121093585463
1.269,1.477,0.23822918873225055,0.3900130035492428,0.018677909767325862,1.2988541592762595
1.268,1.481,0.2374408560150342,0.3927175352856618,0.016367106270088333,0.12843723753137143
1.267,1.482,0.23665190133900194,0.39339252687389514,0.015198176400566171,-0.555659596171468
1.267,1.487,0.23665190133900194,0.3967606674780181,0.013302138138663655,-1.664059206372278
1.268,1.482,0.2374408560150342,0.39339252687389514,0.015987131076598438,-0.1519583362748996
1.268,1.481,0.2374408560150342,0.3927175352856618,0.016367106270088333,0.0694194859282074
1.268,1.477,0.2374408560150342,0.3900130035492428,0.017889577050109517,1.0837687132392535
1.267,1.481,0.23665190133900194,0.3927175352856618,0.015578151594056067,-0.32746057207468604
1.267,1.481,0.23665190133900194,0.3927175352856618,0.015578151594056067,-0.34045109026770454
1.266,1.487,0.23586232372198446,0.3967606674780181,0.012512560521646177,-2.1542252821845023
1.267,1.481,0.23665190133900194,0.3927175352856618,0.015578151594056067,-0.2895447946354554
1.266,1.477,0.23586232372198446,0.3900130035492428,0.016311044757059773,0.20924081880250503
1.266,1.476,0.23586232372198446,0.3893357261782807,0.016692306693599168,0.4566264606986922
1.266,1.478,0.23586232372198446,0.39068982252601003,0.015930040865844097,-0.02692861784016787
1.266,1.482,0.23586232372198446,0.39339252687389514,0.014408598783548693,-0.9187922079866023
1.266,1.486,0.23586232372198446,0.39608794629556743,0.012891257628280445,-1.7340298625917616
1.265,1.474,0.23507212217948348,0.38797979376714486,0.016665404559953106,0.49529114860307555
1.264,1.474,0.2342812957246657,0.38797979376714486,0.015874578105135317,-0.0211000212459925
1.264,1.485,0.2342812957246657,0.395414772254663,0.011689181666667076,-2.126779063775238
1.264,1.474,0.2342812957246657,0.38797979376714486,0.015874578105135317,0.13764084014922878
1.264,1.479,0.2342812957246657,0.39136618372866283,0.013968266673569457,-0.8252657813637649
1.264,1.474,0.2342812957246657,0.38797979376714486,0.015874578105135317,0.39005632041356236
1.264,1.474,0.2342812957246657,0.38797979376714486,0.015874578105135317,0.4086128253670109
1.264,1.479,0.2342812957246657,0.39136618372866283,0.013968266673569457,-0.7694404593040323
1.264,1.478,0.2342812957246657,0.39068982252601003,0.01434901286852533,-0.5766304414934621
1.264,1.475,0.2342812957246657,0.38865798979178323,0.015492799027916726,0.18710558856708626
1.262,1.478,0.23269776411902143,0.39068982252601003,0.012765481262881073,-1.4314706381884503
1.263,1.476,0.233489843368354,0.3893357261782807,0.0143198263399687,-0.37677522205522884
1.263,1.475,0.233489843368354,0.38865798979178323,0.014701346671605026,-0.08558330187195085
1.262,1.469,0.23269776411902143,0.3845818971917403,0.01620383538635292,0.9212077943370498
1.262,1.479,0.23269776411902143,0.39136618372866283,0.012384735067925201,-1.6701792065898349
1.263,1.479,0.233489843368354,0.39136618372866283,0.013176814317257757,-1.0323966603526502
1.263,1.479,0.233489843368354,0.39136618372866283,0.013176814317257757,-0.9389298466895956
1.263,1.477,0.233489843368354,0.3900130035492428,0.013938564403429304,-0.36161081142492973
1.263,1.475,0.233489843368354,0.38865798979178323,0.014701346671605026,0.22090879607880543
1.262,1.47,0.23269776411902143,0.3852624007906449,0.01582075729890431,0.9563846425849366
1.262,1.469,0.23269776411902143,0.3845818971917403,0.01620383538635292,1.11448009355473
1.262,1.476,0.23269776411902143,0.3893357261782807,0.013527747090636144,-0.6940675961071946
1.262,1.471,0.23269776411902143,0.3859424416193005,0.015437939720205629,0.7375928287746379
1.262,1.477,0.23269776411902143,0.3900130035492428,0.013146485154096749,-1.1237030705538351
1.263,1.477,0.233489843368354,0.3900130035492428,0.013938564403429304,-0.411684472703469
1.263,1.478,0.233489843368354,0.39068982252601003,0.013557560512213629,-0.7094616674140397
1.265,1.476,0.23507212217948348,0.3893357261782807,0.01590210515109819,1.244347469341809
1.265,1.477,0.23507212217948348,0.3900130035492428,0.015520843214558794,0.956005648874564
1.265,1.478,0.23507212217948348,0.39068982252601003,0.015139839323343118,0.5827750326043893
1.266,1.476,0.23586232372198446,0.3893357261782807,0.016692306693599168,1.661414938477461
1.268,1.478,0.2374408560150342,0.39068982252601003,0.017508573158893842,2.002677407755232
1.267,1.477,0.23665190133900194,0.3900130035492428,0.01710062237407725,1.5429518549160917
1.267,1.479,0.23665190133900194,0.39136618372866283,0.016338872287905704,0.9330947392587303
1.269,1.485,0.23822918873225055,0.395414772254663,0.015637074674251933,0.427014868721873
1.269,1.477,0.23822918873225055,0.3900130035492428,0.018677909767325862,2.1274493643573096
1.269,1.477,0.23822918873225055,0.3900130035492428,0.018677909767325862,1.8934103849654078
1.269,1.48,0.23822918873225055,0.3920420877760237,0.017535670834102568,1.1228577159496802
1.268,1.481,0.2374408560150342,0.3927175352856618,0.016367106270088333,0.3650483382528815
1.268,1.476,0.2374408560150342,0.3893357261782807,0.018270838986648913,1.39411414475777
1.267,1.474,0.23665190133900194,0.38797979376714486,0.018245183719471564,1.242888429558108
1.267,1.479,0.23665190133900194,0.39136618372866283,0.016338872287905704,0.09493091373096407
1.267,1.48,0.23665190133900194,0.3920420877760237,0.015958383440853957,-0.12445852102327608
1.267,1.478,0.23665190133900194,0.39068982252601003,0.016719618482861576,0.2545372468856814
1.267,1.479,0.23665190133900194,0.39136618372866283,0.016338872287905704,-0.015183357570595921
1.267,1.486,0.23665190133900194,0.39608794629556743,0.013680835245297923,-1.7966603172070903
1.267,1.482,0.23665190133900194,0.39339252687389514,0.015198176400566171,-0.8755904780671159
1.267,1.48,0.23665190133900194,0.3920420877760237,0.015958383440853957,-0.47477798363319496
1.267,1.479,0.23665190133900194,0.39136618372866283,0.016338872287905704,-0.19317800473474675
1.267,1.481,0.23665190133900194,0.3927175352856618,0.015578151594056067,-0.7985702487707466
1.267,1.478,0.23665190133900194,0.39068982252601003,0.016719618482861576,0.04810798871396404
1.268,1.477,0.2374408560150342,0.3900130035492428,0.017889577050109517,0.939586890436667
